y/D,u (x/D=6.5),u (x/D=7.0),u (x/D=7.5),u (x/D=8.0),u (x/D=8.5),u (x/D=11.0),u (x/D=11.5),u (x/D=12.0),u (x/D=12.5),u (x/D=13.0),u (x/D=13.5)
-1.99947863698591,10.145520387964,10.1150886594199,10.0892245308132,10.0762990699628,10.0837370454225,10.1185910681567,10.0917577174529,10.0532091352246,10.0231595562531,9.99956999360233,9.97716262600166
-1.98170549354603,10.1466086082599,10.1155707087021,10.0885801347506,10.0750587659557,10.0817767006086,10.1171502270676,10.0878833621319,10.0461181041128,10.015071013262,9.98985889603342,9.96621988980908
-1.96393235010616,10.1474145433858,10.115215646706,10.087614073642,10.0740882643213,10.082415799954,10.1126125081208,10.0814309979514,10.0391699349377,10.0092200705975,9.98164322050901,9.95914632240753
-1.94615920666628,10.1477111142478,10.114980800293,10.0866036098793,10.0745458092968,10.0848151791007,10.104639680751,10.0709047263608,10.0333668063003,10.0065094474009,9.97542526169372,9.95239058469647
-1.92838606322641,10.1473991369577,10.1150096238035,10.086267603955,10.0760834651888,10.0879405417516,10.0927458141227,10.0587935360928,10.0280554488547,10.0045034952998,9.96784763624631,9.94286998116785
-1.91061291978653,10.1464177756278,10.1143575273026,10.0866721806129,10.0781868709249,10.0897880094635,10.0788634552163,10.0470963691646,10.0220534370426,9.99764337290318,9.95721941018188,9.92993415405757
-1.89283977634666,10.1445119198993,10.1114888797805,10.0868984623166,10.0787126477798,10.0892274149254,10.0635030780236,10.0360598155411,10.0128274709634,9.98345572214272,9.9423966769527,9.91591587851897
-1.87506663290678,10.1427059326404,10.1074322755344,10.0847549143662,10.0776472375977,10.085396109322,10.0485752498629,10.0245301786182,10.0000786186681,9.96186898890766,9.92422305835809,9.9017320635891
-1.85729348946691,10.1422033976027,10.1034240417912,10.0810239017793,10.0741726389083,10.07994743209,10.0349755800846,10.013060730369,9.98226558622044,9.93742056779418,9.90332918871336,9.88684402446398
-1.83952034602703,10.1436399422691,10.101824654931,10.0776670091608,10.0697107794284,10.071697813452,10.0222787417289,9.99848258245593,9.96135553689464,9.91403728861964,9.88270069400327,9.86811965973797
