y/D,u (x/D=3.0),u (x/D=3.5),u (x/D=4.0),u (x/D=4.5),u (x/D=5.0),u (x/D=5.5),u (x/D=6.0),u (x/D=6.5),u (x/D=7.0),u (x/D=7.5),u (x/D=8.0)
-1.99947863698591,10.0951203185299,10.0862383678183,10.0819015669259,10.0757118352201,10.070928575967,10.0712353798053,10.0703744414532,10.0702505690566,10.0757766763616,10.0795424058131,10.0839024906427
-1.98170549354603,10.0953016342371,10.0861159628306,10.0815637663098,10.0761174010496,10.0719952951328,10.0725719688624,10.0721734924639,10.0727796622578,10.0782927311643,10.0821959655249,10.0853481268869
-1.96393235010616,10.0962857026563,10.0865941842448,10.0815507040731,10.0778642245543,10.0741314737408,10.0748675252963,10.0744475726235,10.0766360183107,10.0826448629894,10.086395621717,10.0878382534226
-1.94615920666628,10.0978613562763,10.0872714626844,10.081432432439,10.0792002218997,10.0763573172177,10.0770701378591,10.0774633223495,10.0813431154821,10.0882922495575,10.0914777509508,10.0916671509638
-1.92838606322641,10.1001223572516,10.087970298839,10.0809316791246,10.0796943858682,10.0780556203501,10.0786065024587,10.0811380338896,10.0867020716566,10.0943006181945,10.096808954041,10.0964375857487
-1.91061291978653,10.1032938781357,10.0889955362244,10.0809065930562,10.0797986341731,10.0793938479345,10.0793844239919,10.0847748543139,10.0921916037385,10.0997017173916,10.1015787289433,10.1013611811619
-1.89283977634666,10.1064142980945,10.091085297482,10.0824744932294,10.0803897254245,10.0798582335478,10.0795249881396,10.0874170381748,10.0967732881218,10.1034808983249,10.1058029371753,10.1056127358102
-1.87506663290678,10.107985880065,10.0931977546975,10.0853751300663,10.0812879619704,10.079304200278,10.0791532998197,10.0883571711566,10.0987875265489,10.1059073487872,10.1093238533154,10.1090129910825
-1.85729348946691,10.1080874418867,10.0946192389746,10.0878807577103,10.0820902840733,10.0781087151476,10.0790467971975,10.0877714264625,10.0986770664901,10.108116579414,10.1124175942774,10.1117173018146
-1.83952034602703,10.1078436801848,10.0950512920025,10.0887307289718,10.0821130600048,10.0770584093492,10.078942708943,10.0869167869894,10.0972277624382,10.1105662780116,10.1155018755563,10.1147874894306
-1.82174720258716,10.1075606290525,10.0947019742054,10.0873730173484,10.0810773682736,10.0764354348855,10.0782515888777,10.08641452978,10.0959250804151,10.1121401303821,10.1189790919369,10.1193705208848
-1.80397405914728,10.1063408967339,10.0929707100668,10.0842011811861,10.0788851253565,10.0762045720265,10.0769363152398,10.0859864015538,10.0953470337476,10.1122472738151,10.1218028108086,10.1246532268277
-1.78620091570741,10.1031734759833,10.0897905362513,10.0799176406668,10.0765459043283,10.0761331478181,10.0766947859886,10.0854871084815,10.0959661856042,10.1116314966899,10.1233452625615,10.1287385534956
-1.76842777226753,10.0992586439497,10.0858677548391,10.076270181287,10.0748391753662,10.0765210520624,10.0777210025677,10.0860418443578,10.097755354237,10.1120360852861,10.1233822381197,10.13065371627
-1.75065462882766,10.0969263065476,10.0840224063481,10.0751883721826,10.0745695175291,10.077893602403,10.0797284539069,10.0885660905205,10.1004130013808,10.1137970285714,10.1235386683898,10.1310598044887
-1.73288148538778,10.096736806841,10.0853522649283,10.0771268957857,10.0763446576933,10.0807908657365,10.0834031675409,10.0931970329646,10.1037780422516,10.1153585803954,10.1251754248353,10.1325449477265
-1.71510834194791,10.0979958153219,10.0883636708991,10.0807462624511,10.0801003129521,10.0856069427979,10.0894970270354,10.0990840477394,10.1084520119644,10.1168070011381,10.128692326052,10.1366166671649
-1.69733519850804,10.0998284624954,10.0916283424523,10.0854896845112,10.0849523584399,10.0921224451124,10.0979160578389,10.1058308475765,10.1143898574153,10.1205656227971,10.1333897141175,10.1424404950289
-1.67956205506816,10.1017339201699,10.094772436863,10.090252118668,10.090335592585,10.0988839581871,10.1075819711939,10.1138957994287,10.1213761056984,10.1272749201141,10.1386008174539,10.1479545517229
-1.66178891162829,10.1043558955123,10.0975568981062,10.0941617125955,10.0957693175194,10.1049647927618,10.1160981994159,10.1235770869314,10.1289472912306,10.1346615993492,10.1432867745935,10.1522826835046
-1.64401576818841,10.1085574383647,10.1008862192299,10.0976322489384,10.1013760149188,10.1105500786194,10.1223604543316,10.132931295691,10.1367556718032,10.1401842990381,10.1468751106456,10.1545795691968
-1.62624262474854,10.1139616098409,10.1055810145199,10.1019686947861,10.1068759048793,10.1160630896741,10.1262920061652,10.1392769591582,10.1436624315288,10.1438419041153,10.1486598539913,10.15517498563
-1.60846948130866,10.1187742960969,10.1111364896436,10.1075431490407,10.1122748111159,10.1213461146326,10.1295135724245,10.1411842677577,10.1480129557845,10.1467596462315,10.1500834501534,10.1549521712032
-1.59069633786879,10.1225409631049,10.1160569795745,10.1136733117967,10.1173316684844,10.12629900349,10.1325061208768,10.140254877618,10.1487134741203,10.1493356935194,10.1527292675047,10.1555086796518
-1.57292319442891,10.1257177630373,10.1199186687976,10.1185014758728,10.1220134015504,10.1301731677241,10.1352604381252,10.1392465996912,10.1474987856107,10.1505005569474,10.1559476737955,10.1579503352408
-1.55515005098904,10.129452726983,10.1230497162428,10.1220493953423,10.1252862631592,10.13261714078,10.1370491342481,10.1400711574257,10.1462631325785,10.1506361054073,10.1577102848643,10.1614508268734
-1.53737690754916,10.134678700618,10.127089560354,10.1256909146267,10.1282690491245,10.1339466216012,10.1382727584906,10.1420869343316,10.1463060871803,10.149983965513,10.1575474226825,10.1631289050372
-1.51960376410929,10.1419396096478,10.1330786579761,10.1306535493705,10.1313784409537,10.1349795231274,10.1391169565417,10.1437161580654,10.1467047468135,10.1489181015893,10.1556951906391,10.1618994721814
-1.50183062066941,10.1505629453641,10.1405398756912,10.1362793104929,10.1342731152172,10.135554886107,10.1393236897608,10.1438943814289,10.1465331617184,10.1477829857636,10.1537943123144,10.1584557039917
-1.48405747722954,10.1584956224455,10.1474000063921,10.1408733189227,10.1359370919157,10.1352975436759,10.1380316689812,10.1429669518759,10.1458455251583,10.1472986960438,10.1527570401631,10.1553306741898
-1.46628433378966,10.1639944222629,10.1521320820293,10.1429316799882,10.1365364481705,10.1339382836906,10.135740561476,10.1410987012193,10.1455090834478,10.1480529191339,10.152855554724,10.153966686248
-1.44851119034979,10.1682573535428,10.1542858287529,10.1426041270015,10.1357746230895,10.1321969155786,10.1331660535704,10.1395904935654,10.1453893203457,10.1496146516228,10.1530316934457,10.1538189635553
-1.43073804690991,10.1721300160372,10.1551164102814,10.1408323219119,10.1337147334728,10.1302430360024,10.1317419252181,10.1395227183931,10.1454081594105,10.1498569761057,10.1522195480988,10.1533054811633
-1.41296490347004,10.1759896620895,10.1554250068866,10.1390909881658,10.1305062677668,10.1279236241876,10.1317632886219,10.1408333395164,10.1451568837661,10.1480704530238,10.149473831472,10.1513518714839
-1.39519176003017,10.1793963384502,10.1562506844395,10.1387391563773,10.1286434163925,10.1262120670705,10.1322458955173,10.1419762997889,10.1448810207198,10.1448629161566,10.1457376951989,10.1478938151246
-1.37741861659029,10.1815887551877,10.1576679966459,10.1400374162147,10.1294709460585,10.1270802566822,10.1319288993798,10.141773325777,10.1442646530379,10.1422555927063,10.1422853542322,10.1447081452381
-1.35964547315042,10.1811000114021,10.1591098747089,10.141934648099,10.1325870438839,10.1299671639545,10.1316112381575,10.139786446947,10.1432142192491,10.1413591659478,10.1408602939655,10.1430773384612
-1.34187232971054,10.1779317667178,10.1590392084933,10.1435618727676,10.1367955394765,10.1333091087058,10.1318349503964,10.1376186352387,10.1414851001263,10.1416671336374,10.1416580849619,10.1430482592908
-1.32409918627067,10.1732610931766,10.1578073988655,10.1449131955537,10.141083466606,10.1358716600174,10.1326083961779,10.1359529315078,10.1397481650215,10.1414225985847,10.1428603552572,10.1436813861558
-1.30632604283079,10.1691061821384,10.1562857917815,10.1467929438072,10.1441957624406,10.1375690142604,10.1334719259097,10.13504811222,10.1379684962799,10.1395791818688,10.1417782650483,10.1439191674401
-1.28855289939092,10.1660098674363,10.1550130636981,10.1482545519448,10.1455728285987,10.1386111372029,10.1345117404437,10.1347351088634,10.1363402130182,10.1366384939367,10.1390397540464,10.1426967898776
-1.27077975595104,10.163608731541,10.1533603844035,10.1484100165576,10.1450936195819,10.1395962715818,10.1354479076231,10.1349926657426,10.1347358338961,10.1336084518967,10.135723984746,10.1404136259628
-1.25300661251117,10.1609255771572,10.1515160966967,10.146795458264,10.1436459912349,10.1393925656393,10.1359135494749,10.1352778455436,10.1331433664071,10.1302167795668,10.1324100378163,10.1374296848999
-1.23523346907129,10.157603946737,10.1491997103054,10.1441909506444,10.1407373475872,10.1374302580714,10.1346899703196,10.1348427945689,10.1304221965735,10.1259166259188,10.1278923298246,10.1340776509099
-1.21746032563142,10.1532503316062,10.1459372074913,10.1408196172037,10.1366840428141,10.1333814747312,10.1312828547071,10.1319988125252,10.1256480390034,10.1201425884352,10.1219706724829,10.12964228155
-1.19968718219154,10.1478337733161,10.1408706800262,10.1368178563369,10.131530143285,10.1283018486023,10.1254780815458,10.1261485615166,10.1182499793965,10.1133170422692,10.1152278088059,10.1243175864589
