y/D,u (x/D=3.0),u (x/D=3.5),u (x/D=4.0),u (x/D=4.5),u (x/D=5.0),u (x/D=5.5),u (x/D=6.0),u (x/D=6.5),u (x/D=7.0),u (x/D=7.5),u (x/D=8.0)
-1.99947863698591,10.0859009841949,10.0736299659881,10.063049617185,10.052147347962,10.0431941999781,10.040855759943,10.0420714491989,10.0443730893894,10.0470998515676,10.0479455555513,10.0490701614343
-1.98170549354603,10.086797995284,10.0730628773583,10.0608294562659,10.0517804860793,10.0447305263081,10.0425649864798,10.0456948081867,10.0489704653629,10.0524243314797,10.051828297937,10.0526172059192
-1.96393235010616,10.0875236228951,10.0724212892299,10.0594001287127,10.0518811912303,10.0466549339342,10.0447073023259,10.0489602348151,10.053294130111,10.0567840329937,10.0552803170777,10.0553099534092
-1.94615920666628,10.0884505778288,10.0720522334087,10.0593999375094,10.0520788103189,10.0476954405178,10.0460329971824,10.0515525648584,10.0561444406374,10.0596658130531,10.0585303487747,10.0579051329921
-1.92838606322641,10.0894693995697,10.072414138135,10.0604892382976,10.0518239201222,10.0464249953873,10.0455007093562,10.0522120006204,10.0571507456761,10.0611394486442,10.0614709618641,10.0604809318126
-1.91061291978653,10.0899271563943,10.073084644207,10.0617088230013,10.0504566725307,10.0436187437505,10.0429065180869,10.0502080362365,10.0565764672419,10.0620128596171,10.0634945480241,10.0631557689003
-1.89283977634666,10.0897831916333,10.0735335680316,10.0619553259527,10.0484571944931,10.0410271308534,10.0400157691312,10.0472162742393,10.0558679697379,10.0628071928,10.0647392819478,10.0657683104885
-1.87506663290678,10.0899932508858,10.0739076621497,10.0609181070778,10.046463241906,10.0398127253503,10.0382001781702,10.0451236145291,10.0551478525661,10.0635221264827,10.0653973514139,10.0682243091043
-1.85729348946691,10.0901270462868,10.073596231194,10.0584800575903,10.0452664900033,10.0400952915875,10.038199758327,10.0450368623663,10.0557234152816,10.064627864204,10.0670316560711,10.0705627574752
-1.83952034602703,10.088898113111,10.0710002406358,10.0546835337516,10.0448857604264,10.0415383903579,10.0399229055812,10.0470018953804,10.0580292202809,10.0670624975327,10.0700117811649,10.0733170125202
-1.82174720258716,10.0856205479301,10.066503022831,10.0500232640512,10.0445747142014,10.0433283765494,10.0427965840216,10.0500741801512,10.0612279572937,10.070087366744,10.0734730084195,10.0764188016904
-1.80397405914728,10.0816783323182,10.0618200700562,10.0465685193636,10.0435193729176,10.0446328061107,10.0457296274864,10.053260047433,10.0642338173022,10.072809495659,10.0763347909794,10.0790075264826
-1.78620091570741,10.0787337506337,10.0594679154157,10.0460626346453,10.0427756027075,10.0455782853391,10.0486851132732,10.0565295032953,10.0671018997918,10.0748162002371,10.0784537436707,10.0804092309523
-1.76842777226753,10.0773328108469,10.0601951940158,10.0480428252498,10.0435252228296,10.0477732033673,10.0525284965825,10.0609821344311,10.0700626438327,10.0762945625943,10.0794989175879,10.0805520586296
-1.75065462882766,10.0779384287475,10.0629878554901,10.0509286530283,10.0461784902125,10.0517157841146,10.0581237235534,10.066169130644,10.0736088061539,10.0774285428376,10.0801697957074,10.0795134825227
-1.73288148538778,10.0805200572161,10.0669265025427,10.0546806819331,10.050358656908,10.0567863682111,10.06516687104,10.071516911397,10.077961773215,10.0792905388595,10.0811664211116,10.078511058437
-1.71510834194791,10.0837972505604,10.0714562405306,10.0596845341502,10.0561194798874,10.0624774753639,10.0725474911349,10.0769544073902,10.0826931920312,10.0824445788789,10.0828128021678,10.0789150849397
-1.69733519850804,10.0870883684791,10.0754124184846,10.065757222004,10.0639285467118,10.0690452328867,10.0783676852098,10.0825176232681,10.0868242716288,10.0857898227989,10.0847685568003,10.0809718731054
-1.67956205506816,10.0903582850871,10.0788368251832,10.0718579723542,10.0723836317163,10.0762150167755,10.082412705208,10.0872672517771,10.0900956491982,10.0878933989042,10.0867129283614,10.0833984663232
-1.66178891162829,10.0937191301102,10.0820360719772,10.0772329357891,10.0789930616642,10.0822029446605,10.0853182605009,10.090593481704,10.0920043174723,10.0887458319426,10.0881088014946,10.0849404868044
-1.64401576818841,10.0968148967465,10.0856750719067,10.0816357627673,10.0835466897203,10.0863260985854,10.0884854939331,10.0925997164657,10.0932521054939,10.0887828749216,10.0891069698102,10.0851861456031
-1.62624262474854,10.09968499925,10.0897195045065,10.0858311691039,10.0865518771281,10.0893595350534,10.0910777926359,10.094145719307,10.0941160197185,10.088690015618,10.0894102078693,10.0853127221116
-1.60846948130866,10.1032753322282,10.0941090049891,10.0901542022572,10.0889210685111,10.0908577508098,10.0924166151062,10.0951064703164,10.0948948538737,10.0889778926058,10.0896432131795,10.0860301738114
