,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200
2012-01-01 00:00:00,7.567015958753135,13.127019772335267,14.522655088004983,15.286435161568381,16.256961265718797,230.26679729491184,231.40490483664567,232.5618051208538,234.94508304826448,236.43914600187972
2012-01-01 01:00:00,7.3299867691612794,12.664651753548752,14.000965131293816,14.687518486617956,15.635986569083068,227.3073216834178,228.82100449312492,230.36938434343188,232.98328606955747,234.8509180846219
2012-01-01 02:00:00,7.412832300751221,12.801349158893919,14.15051273715007,14.76436271176667,15.71601129947671,226.96077661483577,228.7592919199799,230.5956627063189,233.5618198439885,235.6904771130173
2012-01-01 03:00:00,7.6889726082883,13.30048822402027,14.709149354311132,15.414228869186946,16.461035033043938,231.66412962505197,233.32273137105926,235.01694900255382,237.8865206503037,239.75856536856787
2012-01-01 04:00:00,7.677067671432079,13.24110826434154,14.635814514145153,15.340186530761766,16.379534598522316,233.23234163376787,234.828209553472,236.45289577758612,239.10656871772613,240.88154291808038
2012-01-01 05:00:00,7.6287129962658256,13.132906771957316,14.510339062383625,15.160035350749158,16.176759516079002,235.4340698093469,237.09156073645494,238.7790625252384,241.3802589312909,243.22215306004162
2012-01-01 06:00:00,7.5042793060218855,12.883336610829991,14.22826140361679,14.855078025954981,15.811502214552437,237.48580300949035,239.1615719239408,240.87987280780635,243.6555879765846,245.5495239526802
2012-01-01 07:00:00,7.314980765713031,12.572409725297655,13.887838163950983,14.47292655289954,15.392572877094356,235.2497882438714,236.97259250811572,238.7349462448696,241.57941818851992,243.54853622272972
2012-01-01 08:00:00,7.443665165572054,12.767507116913123,14.095483613247826,14.738109194824805,15.636073050630044,232.8001861672355,234.4969445015221,236.23414542576316,239.01794678081637,240.96295854220833
2012-01-01 09:00:00,7.693854909332153,13.125571448020056,14.47827042074656,15.191846287296158,16.108574034403766,232.67469406696725,234.1987073507085,235.75325598494285,238.31407383893256,240.09056736684832
2012-01-01 10:00:00,6.752880073560421,11.532018236699512,12.72427957629551,13.200143521024879,13.925342754919757,228.6664847621127,230.5833529751274,232.53529274410164,235.47866468254483,237.70549001325992
2012-01-01 11:00:00,7.179793978792472,12.130219065367744,13.356999180658818,13.874426855729139,14.665821910422975,223.43630770049836,225.19880492220216,226.9982758969649,229.75007057699733,231.7908459639021
